Tweet1m,Tweet2m,Tavg1m,Tavg2m,Rainmax1m,Rainmax2m,Rainavg1m,Rainavg2m,Electro1m,Electro2m,Tweet1n,Tweet2n,Tavg1n,Tavg2n,Rainmax1n,Rainmax2n,Rainavg1n,Rainavg2n,Electro1n,Electro2n,Weekday,TargetDay,TargetNight
149,165,11.245555555555555,12.132152777777774,0.049999999999999996,0.005,0.002222222222222222,0.0001388888888888889,327834.1116880024,292081.26202700136,44,92,9.895138888888889,10.252630952380951,0.049999999999999996,0.005,0.0,0.0002777777777777778,147530.373514,146824.96844999952,Su,115,74
115,149,12.137079365079366,11.245555555555555,0.295,0.049999999999999996,0.017408730158730158,0.002222222222222222,289288.54558300157,327834.1116880024,74,44,7.764166666666666,9.895138888888889,0.295,0.049999999999999996,0.0002777777777777778,0.0,142660.46853500023,147530.373514,Mo,90,54
90,115,7.444652777777778,12.137079365079366,0.38,0.295,0.08708333333333333,0.017408730158730158,492895.718458,289288.54558300157,54,74,6.732539682539681,7.764166666666666,0.38,0.295,0.03535714285714285,0.0002777777777777778,181140.19825800066,142660.46853500023,Tu,106,56
106,90,10.23479365079365,7.444652777777778,0.05499999999999999,0.38,0.0015317460317460319,0.08708333333333333,455374.8805660027,492895.718458,56,54,6.8476388888888895,6.732539682539681,0.05499999999999999,0.38,0.0,0.03535714285714285,182369.05307800043,181140.19825800066,We,102,55
102,106,10.780688492063494,10.23479365079365,0.065,0.05499999999999999,0.002781746031746032,0.0015317460317460319,460321.19070799806,455374.8805660027,55,56,6.58125,6.8476388888888895,0.065,0.05499999999999999,0.0,0.0,183050.7833529998,182369.05307800043,Th,88,92
88,102,10.987267857142857,10.780688492063494,0.0,0.065,0.0,0.002781746031746032,453392.307536,460321.19070799806,92,55,6.9686111111111115,6.58125,0.0,0.065,0.0,0.0,182702.9931960006,183050.7833529998,Fr,150,108
150,88,10.084236111111114,10.987267857142857,0.06000000000000001,0.0,0.005,0.0,489172.8505049982,453392.307536,108,92,8.877777777777778,6.9686111111111115,0.06000000000000001,0.0,0.06138888888888888,0.0,178196.2481760002,182702.9931960006,Sa,274,91
274,150,9.34903781512605,10.084236111111114,2.339999999999999,0.06000000000000001,0.3025504201680672,0.005,369908.8449589976,489172.8505049982,91,108,6.211995798319327,8.877777777777778,2.339999999999999,0.06000000000000001,0.3009411764705882,0.06138888888888888,150375.87031199993,178196.2481760002,Su,165,132
165,274,6.068680555555556,9.34903781512605,0.2000000000000001,2.339999999999999,0.011388888888888886,0.3025504201680672,293029.8368870019,369908.8449589976,132,91,6.006944444444445,6.211995798319327,0.2000000000000001,2.339999999999999,0.005555555555555555,0.3009411764705882,149437.308492,150375.87031199993,Mo,190,92
190,165,9.11090277777778,6.068680555555556,0.09000000000000004,0.2000000000000001,0.002777777777777777,0.011388888888888886,486685.2770240006,293029.8368870019,92,132,7.035277777777777,6.006944444444445,0.09000000000000004,0.2000000000000001,0.0,0.005555555555555555,189104.34840600044,149437.308492,Tu,171,66
