,month,day,hours,temperature,rain
0,11,1,0.0,13.2,0.0
1,11,1,0.0,8.4,0.0
2,11,1,0.5,8.8,0.0
3,11,1,0.5,13.2,0.0
4,11,1,0.5,11.8,0.0
5,11,1,0.5,13.1,0.0
6,11,5,0.5,9.0,0.0
7,11,1,1.0,12.9,0.0
8,11,1,1.5,12.4,0.0
9,11,1,1.0,8.2,0.0
10,11,1,1.5,6.7,0.0
11,11,1,1.5,8.8,0.0
12,11,1,2.0,12.5,0.0
13,11,1,2.0,12.5,0.0
14,11,1,2.5,9.0,0.0
15,11,1,4.5,12.3,0.0
16,11,1,0.5,11.8,0.0
17,11,1,0.5,11.8,0.0
18,11,1,0.5,11.8,0.0
19,11,1,7.5,11.0,0.0
20,11,1,8.0,7.9,0.0
21,11,1,8.0,12.0,0.0
22,11,1,8.5,8.1,0.0
23,11,1,8.5,12.2,0.0
24,11,1,9.0,11.7,0.0
25,11,1,9.0,9.3,0.0
26,11,1,9.0,12.6,0.0
27,11,1,9.5,11.4,0.0
28,11,1,9.5,10.4,0.0
29,11,1,9.5,12.7,0.0
30,11,1,9.5,7.2,0.0
31,11,1,10.0,12.0,0.0
32,11,1,10.0,14.3,0.0
33,11,1,10.0,14.8,0.0
34,11,1,10.5,12.0,0.0
35,11,1,11.0,13.2,0.0
36,11,1,11.0,12.8,0.0
37,11,1,10.5,14.7,0.0
38,11,1,10.5,14.7,0.0
39,11,1,10.5,14.7,0.0
40,11,1,10.5,12.0,0.0
41,11,1,11.0,15.5,0.0
42,11,1,11.0,12.8,0.0
43,11,1,11.0,13.2,0.0
44,11,1,11.0,10.4,0.0
45,11,1,10.5,14.7,0.0
46,11,1,11.5,14.9,0.0
47,11,1,11.5,13.4,0.0
48,11,1,11.5,13.4,0.0
49,11,1,11.5,13.4,0.0
50,11,1,11.5,13.4,0.0
51,11,1,11.5,13.4,0.0
52,11,1,11.5,13.4,0.0
53,11,1,11.5,13.4,0.0
54,11,1,11.5,13.4,0.0
55,11,1,11.5,13.4,0.0
56,11,1,11.5,13.4,0.0
57,11,1,11.5,13.4,0.0
58,11,1,11.5,13.4,0.0
59,11,1,11.5,13.4,0.0
60,11,1,11.5,13.4,0.0
61,11,1,11.5,14.3,0.0
62,11,1,12.5,11.7,0.0
63,11,1,12.5,13.7,0.0
64,11,1,13.5,11.9,0.0
65,11,1,12.0,11.4,0.0
66,11,1,12.0,11.6,0.0
67,11,1,10.0,8.8,0.0
68,11,1,12.5,11.7,0.0
69,11,1,12.5,9.8,0.0
70,11,1,12.5,14.1,0.0
71,11,1,12.5,14.1,0.0
72,11,1,12.5,14.1,0.0
73,11,1,12.5,14.1,0.0
74,11,1,12.5,14.1,0.0
75,11,1,13.0,11.8,0.0
76,11,1,13.0,14.3,0.0
77,11,1,13.0,15.3,0.0
78,11,1,13.0,14.3,0.0
79,11,1,13.0,9.5,0.0
80,11,1,13.0,14.3,0.0
81,11,1,13.0,13.4,0.0
82,11,1,13.0,13.4,0.0
83,11,1,13.0,11.9,0.0
84,11,1,13.0,16.5,0.0
85,11,1,13.0,16.5,0.0
86,11,1,13.5,10.1,0.0
87,11,1,13.5,12.3,0.0
88,11,1,13.5,14.3,0.0
89,11,1,13.5,14.3,0.0
90,11,1,14.0,11.6,0.0
91,11,1,13.5,11.9,0.0
92,11,1,13.5,12.3,0.0
93,11,1,13.5,11.5,0.0
94,11,1,13.5,15.1,0.0
95,11,1,13.5,11.9,0.0
96,11,1,13.5,15.8,0.0
97,11,1,13.5,14.3,0.0
98,11,1,14.0,11.6,0.0
99,11,1,14.5,11.5,0.0
100,11,1,14.5,13.8,0.0
101,11,1,14.5,11.6,0.0
102,11,1,14.0,11.6,0.0
103,11,1,14.0,11.6,0.0
